2020/09/30                                                                                                                                                                                                                                                                                                                                                                             Dynamic List Display                                                                                                                                                                                                                                                                                                                                                                                    1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PEB,Invoice Doc,Material,DistChnl Desc,Ship-to-Party,SubDiv Desc,EndCust Code,BillT,Sold-to-Party,Sold-to-Party Name,Div Desc,RefDoc,EndCust Short Name,Posting Date,Div,Doc Curr,Invoiced Quantity,   Net value,Net Value Local,,
319998,903094807,MN63Y2014ZBT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095769,BROTHERHK,2020-09-04,30,US$,"13,824.00","3,004.37","3,004.37",,
319998,903094808,MN63Y2018JRT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095770,BROTHERHK,2020-09-04,30,US$,"41,472.00","9,018.09","9,018.09",,
320146,903094809,MN101C30AML,Sales Co. (B&S),29817,MN-DD,80958868,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095780,SHIN-BRO,2020-09-04,30,US$,500,272.97,272.97,,
320146,903094810,MN101C30AML,Sales Co. (B&S),29817,MN-DD,80958868,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095781,SHIN-BRO,2020-09-04,30,US$,500,272.97,272.97,,
320146,903094811,MN101C30AMX,Sales Co. (B&S),29817,MN-DD,80958868,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095782,SHIN-BRO,2020-09-04,30,US$,"1,000.00",545.95,545.95,,
320146,903094812,MN101C30AMX,Sales Co. (B&S),29817,MN-DD,80958868,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095784,SHIN-BRO,2020-09-04,30,US$,500,272.98,272.98,,
320146,903094813,MN101C30AMX,Sales Co. (B&S),29817,MN-DD,80958868,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095785,SHIN-BRO,2020-09-04,30,US$,"1,500.00",818.93,818.93,,
320146,903094814,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095777,LGI-J,2020-09-04,10,US$,"43,200.00","21,768.48","21,768.48",,
328331,903094881,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095871,BIPH,2020-09-09,30,US$,"55,296.00","12,005.87","12,005.87",,
328331,903094882,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095870,BIPH,2020-09-09,30,US$,"27,648.00","6,002.93","6,002.93",,
328331,903094883,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095873,BIPH,2020-09-09,30,US$,"55,296.00","12,005.87","12,005.87",,
328331,903094884,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095874,BIPH,2020-09-09,30,US$,"55,296.00","12,005.87","12,005.87",,
328331,903094885,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095875,BIPH,2020-09-09,30,US$,"27,648.00","6,002.93","6,002.93",,
328331,903094886,MN63Y2018LLT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095876,BIPH,2020-09-09,30,US$,"55,296.00","12,005.87","12,005.87",,
328331,903094887,AN41241A-VF,Sales Co. (B&S),29817,A-LSI,80963660,ZF2,29817,NTSG-SALES,ANALOG LSI,803095882,DENSO TEN,2020-09-09,20,US$,"39,000.00","22,387.95","22,387.95",,
